observation,playerType,propReturnB,propSendA,age,defMax,volSav,dropG
1,B,0,,48,0,12,0
2,B,0.333333343,,30,0,361,0
3,B,0.5,,51,3,1,0
4,B,0,,20,0,404,0
5,B,0.166666672,,28,14.5,115,0
6,B,0.5,,37,91.75,13,1
7,B,0.5,,48,0,48,0
8,B,0.5,,32,3.700000048,275,0
9,B,0,,37,0,52,0
10,B,0.25,,40,0,18,0
11,B,0.5,,46,0,94,0
12,B,0.666666687,,27,0,9,1
13,B,1,,27,0,10,0
14,B,1,,44,0,58,0
15,B,1,,50,0,22,0
16,B,1,,27,0,101,0
17,B,0,,40,0,174,0
18,B,0.5,,42,0,580,0
19,B,0.5,,32,250,15,0
20,B,0.5,,25,224.4299927,3,1
21,B,0.5,,30,0,178,0
22,B,0.5,,37,105,84,0
23,B,0.5,,43,0,87,0
24,B,0.5,,55,0,18,0
25,B,0.5,,47,0,185,0
26,B,1,,42,0,105,0
27,B,0,,22,0,51,0
28,B,0,,43,0,26,0
29,B,0.5,,69,0,146,0
30,B,0.5,,49,168.25,21,1
31,B,0.5,,38,0,1,0
32,B,0.5,,33,0,1,1
33,B,0.75,,60,0,3,0
34,B,1,,49,0,52,0
35,B,0,,46,426.5,27,1
36,B,0,,21,29.54999924,57,1
37,B,0.5,,42,0,250,0
38,B,0.5,,47,726.3200073,8,1
39,B,0.5,,20,179.6999969,14,1
40,B,0.5,,28,0,181,0
41,B,0.5,,48,0,33,0
42,B,0.5,,59,0,73,0
43,B,1,,25,153,0,0
44,B,1,,53,286,5,0
45,B,0,,34,0,41,0
46,B,0,,37,0,8,0
47,B,0.166666672,,52,194.5,97,1
48,B,0.166666672,,0,249.5,0,1
49,B,0.25,,0,43.43999863,0,1
50,B,0.5,,0,0,3,0
51,B,0.5,,33,0,21,0
52,B,0.5,,60,177.5,16,1
53,B,0.5,,27,0,142,0
54,B,0.5,,25,0,92,0
55,B,0.5,,30,0,0,0
56,B,0.5,,33,171.5700073,1,0
57,B,0.75,,29,0,4,0
58,B,0.25,,49,0,212,0
59,B,0.333333343,,40,1054,0,1
60,B,0.333333343,,34,7.320000172,81,1
61,B,0.333333343,,31,0,0,0
62,B,0.333333343,,58,0,9,0
63,B,0.5,,52,0,101,0
64,B,0.5,,19,0,65,0
65,B,0.666666687,,37,0,768,1
66,B,0.833333313,,30,0,11,0
67,B,1,,36,0,74,0
68,B,0,,35,0,29,0
69,B,0.166666672,,29,0,654,0
70,B,0.333333343,,17,225.9100037,20,1
71,B,0.333333343,,39,0,3,0
72,B,0.5,,23,0,278,0
73,B,1,,49,0,72,0
74,B,1,,31,0,12,0
75,B,0,,40,0,12,0
76,B,0.166666672,,51,0,68,0
77,B,0.166666672,,25,618,13,1
78,B,0.333333343,,44,0,4,0
79,B,0.5,,44,0,4,0
80,B,0.5,,42,0,109,0
81,B,0.666666687,,35,0,73,0
82,B,1,,61,0,146,0
83,B,1,,47,0,39,0
84,B,0,,32,0,33,0
85,B,0.333333343,,52,0,483.6199951,0
86,B,0.5,,27,0,14,0
87,B,0.5,,35,0,402,0
88,B,0.5,,80,0,8,0
89,B,0.5,,24,0,50,0
90,B,0.5,,22,61.63999939,0,0
91,B,0.666666687,,38,0,2,0
92,B,0,,21,0,24,0
93,B,0,,25,0,5,0
94,B,0,,19,0,97,0
95,B,0,,26,0,11,0
96,B,0,,20,176.6100006,22,1
97,B,0,,23,0,12,0
98,B,0,,55,0,117,0
99,B,0.5,,42,0,96,0
100,B,0.5,,42,0,100,0
101,B,0.5,,27,0,45,0
102,B,0.5,,39,0,0,0
103,B,0.5,,25,0,36,0
104,B,0.5,,32,0,50,1
105,B,0.333333343,,43,236,22,0
106,B,0.5,,27,75.62000275,0,1
107,B,0.5,,36,0,60,0
108,B,0.5,,37,0,11,1
109,B,0.5,,32,0,66,0
110,B,0.5,,52,0,133,0
111,B,0.666666687,,35,58.25,0,1
112,B,0.666666687,,31,0,106,0
113,B,0.75,,25,0,24,0
114,B,1,,30,0,20,0
115,B,0,,47,0,7,0
116,B,0,,50,0,22,0
117,B,0.333333343,,41,0,86,0
118,B,0.5,,55,0,15,0
119,B,0.5,,26,0,327,0
120,B,0.5,,53,0,173,0
121,B,0.5,,31,0,208,0
122,B,1,,39,0,197,0
123,B,1,,48,0,5,0
124,B,1,,38,0,111,0
125,B,0.5,,48,48.24000168,0,0
126,B,0.5,,32,89.62999725,3,1
127,B,0.5,,38,0,12,0
128,B,0.5,,54,0,220,0
129,B,0.75,,39,0,272,0
130,B,1,,31,0,21,0
131,B,0,,23,0,1,0
132,B,0.25,,63,0,120,0
133,B,0.5,,38,62.00999832,5,1
134,B,0.5,,23,74,4,1
135,B,0.75,,29,0,74,0
136,B,1,,18,0,100,0
137,B,0,,34,490.25,21,0
138,B,0,,25,0,0,0
139,B,0,,22,3.619999886,101,0
